Year,Team,HC,OC,DC,Notes
2003,PHI,ReidAn0,ChilBr0,JohnJi1,
2004,PHI,ReidAn0,ChilBr0,JohnJi1,
2005,PHI,ReidAn0,ChilBr0,JohnJi1,
2006,PHI,ReidAn0,MornMa0,JohnJi1,
2007,PHI,ReidAn0,MornMa0,JohnJi1,
2008,PHI,ReidAn0,MornMa0,JohnJi1,
2009,PHI,ReidAn0,MornMa0,McDeSe0,
2010,PHI,ReidAn0,MornMa0,McDeSe0,
2011,PHI,ReidAn0,MornMa0,CastJu0,
2012,PHI,ReidAn0,MornMa0,CastJu0,
2013,PHI,KellCh0,ShurPa0,DaviBi0,
2014,PHI,KellCh0,ShurPa0,DaviBi0,
2015,PHI,KellCh0,ShurPa0,DaviBi0,
2016,PHI,PedeDo0,ReicFr0,SchwJi0,
2017,PHI,PedeDo0,ReicFr0,SchwJi0,
2018,PHI,PedeDo0,GrohMi0,SchwJi0,
2019,PHI,PedeDo0,GrohMi0,SchwJi0,
2020,PHI,PedeDo0,NA,SchwJi0,No OC
1999,PIT,CowhBi0,GilbKe0,HaslJi0,
2000,PIT,CowhBi0,GilbKe0,LewiTi0,
2001,PIT,CowhBi0,MulaMi0,LewiTi0,
2002,PIT,CowhBi0,MulaMi0,LewiTi0,
2003,PIT,CowhBi0,MulaMi0,LewiTi0,
2004,PIT,CowhBi0,WhisKe0,LeBeDi0,
2005,PIT,CowhBi0,WhisKe0,LeBeDi0,
2006,PIT,CowhBi0,WhisKe0,LeBeDi0,
2007,PIT,TomlMi0,AriaBr0,LeBeDi0,
2008,PIT,TomlMi0,AriaBr0,LeBeDi0,
2009,PIT,TomlMi0,AriaBr0,LeBeDi0,
2010,PIT,TomlMi0,AriaBr0,LeBeDi0,
2011,PIT,TomlMi0,AriaBr0,LeBeDi0,
2012,PIT,TomlMi0,HaleTo0,LeBeDi0,
2013,PIT,TomlMi0,HaleTo0,LeBeDi0,
2014,PIT,TomlMi0,HaleTo0,LeBeDi0,
2015,PIT,TomlMi0,HaleTo0,ButlKe0,
2016,PIT,TomlMi0,HaleTo0,ButlKe0,
2017,PIT,TomlMi0,HaleTo0,ButlKe0,
2018,PIT,TomlMi0,FichRa0,ButlKe0,
2019,PIT,TomlMi0,FichRa0,ButlKe0,
2020,PIT,TomlMi0,FichRa0,ButlKe0,
1999,SD,RileMi0,ChryGe0,PascJo0,
2000,SD,RileMi0,ChryGe0,PascJo0,
2001,SD,RileMi0,TurnNo0,PascJo0,DC out; Banker fill-in after five games
2002,SD,SchoMa0,CameCa0,LindDa0,
2003,SD,SchoMa0,CameCa0,LindDa0,
2004,SD,SchoMa0,CameCa0,PhilWa0,
2005,SD,SchoMa0,CameCa0,PhilWa0,
2006,SD,SchoMa0,CameCa0,PhilWa0,
2007,SD,TurnNo0,ShelCl0,CottTe0,
2008,SD,TurnNo0,ShelCl0,CottTe0,DC fired
2009,SD,TurnNo0,ShelCl0,RiveRo0,
2010,SD,TurnNo0,ShelCl0,RiveRo0,
2011,SD,TurnNo0,ShelCl0,ManuGr0,
2012,SD,TurnNo0,HuntHa1,PagaJo0,
2013,SD,McCoMi1,WhisKe0,PagaJo0,
2014,SD,McCoMi1,ReicFr0,PagaJo0,
2015,SD,McCoMi1,ReicFr0,PagaJo0,
2016,SD,McCoMi1,WhisKe0,PagaJo0,
1999,SF,MariSt0,MornMa0,MoraJi1,
2000,SF,MariSt0,MornMa0,MoraJi1,
2001,SF,MariSt0,KnapGr0,MoraJi1,
2002,SF,MariSt0,KnapGr0,MoraJi1,
2003,SF,EricDe0,KnapGr0,MoraJi1,
2004,SF,EricDe0,TollTe0,RobiWi0,
2005,SF,NolaMi0,McCaMi0,DaviBi0,
2006,SF,NolaMi0,TurnNo0,DaviBi0,
2007,SF,NolaMi0,HostJi0,ManuGr0,
2008,SF,NolaMi0,MartMi0,ManuGr0,
2009,SF,SingMi0,RayeJi0,ManuGr0,
2010,SF,SingMi0,RayeJi0,ManuGr0,
2011,SF,HarbJi0,RomaGr0,FangVi0,
2012,SF,HarbJi0,RomaGr0,FangVi0,
2013,SF,HarbJi0,RomaGr0,FangVi0,
2014,SF,HarbJi0,RomaGr0,FangVi0,
2015,SF,TomsJi0,ChryGe0,MangEr0,
2016,SF,KellCh0,ModkCu0,ONeiJi0,
2017,SF,ShanKy0,ShanKy0,SaleRo0,
2018,SF,ShanKy0,ShanKy0,SaleRo0,
2019,SF,ShanKy0,ShanKy0,SaleRo0,
2020,SF,ShanKy0,ShanKy0,SaleRo0,
1999,SEA,HolmMi0,SherMi0,LindJi0,
2000,SEA,HolmMi0,HaskGi0,SidwSt0,
2001,SEA,HolmMi0,HaskGi0,SidwSt0,
2002,SEA,HolmMi0,HaskGi0,SidwSt0,
2003,SEA,HolmMi0,HaskGi0,RhodRa0,
2004,SEA,HolmMi0,HaskGi0,RhodRa0,
2005,SEA,HolmMi0,HaskGi0,RhodRa0,
2006,SEA,HolmMi0,HaskGi0,MarsJo0,
2007,SEA,HolmMi0,HaskGi0,MarsJo0,
2008,SEA,HolmMi0,HaskGi0,MarsJo0,
2009,SEA,MoraJi1,KnapGr0,BradGu0,
2010,SEA,CarrPe0,BateJe0,BradGu0,
2011,SEA,CarrPe0,BeveDa0,BradGu0,
2012,SEA,CarrPe0,BeveDa0,BradGu0,
2013,SEA,CarrPe0,BeveDa0,QuinDa0,
2014,SEA,CarrPe0,BeveDa0,QuinDa0,
2015,SEA,CarrPe0,BeveDa0,RichKr0,
2016,SEA,CarrPe0,BeveDa0,RichKr0,
2017,SEA,CarrPe0,BeveDa0,RichKr0,
2018,SEA,CarrPe0,SchoBr0,NortKe0,
2019,SEA,CarrPe0,SchoBr0,NortKe0,
2020,SEA,CarrPe0,SchoBr0,NortKe0,
1999,STL,VermDi0,MartMi0,GiunPe0,
2000,STL,MartMi0,JackBo0,GiunPe0,
2001,STL,MartMi0,JackBo0,SmitLo0,
2002,STL,MartMi0,JackBo0,SmitLo0,
2003,STL,MartMi0,FairSt0,SmitLo0,
2004,STL,MartMi0,FairSt0,MarmLa0,
2005,STL,MartMi0,FairSt0,MarmLa0,HC fired; LB to HC
2006,STL,LineSc0,OlsoGr0,HaslJi0,
2007,STL,LineSc0,OlsoGr0,HaslJi0,
2008,STL,LineSc0,SaunAl0,HaslJi0,HC fired; DC to HC
2009,STL,SpagSt0,ShurPa0,FlajKe0,
2010,STL,SpagSt0,ShurPa0,FlajKe0,
2011,STL,SpagSt0,McDaJo0,FlajKe0,
2012,STL,FishJe0,SchoBr0,NA,No DC
2013,STL,FishJe0,SchoBr0,WaltTi0,
2014,STL,FishJe0,SchoBr0,WillGr0,
2015,STL,FishJe0,CignFr0,WillGr0,
1999,TB,DungTo0,ShulMi0,KiffMo0,
2000,TB,DungTo0,StecLe0,KiffMo0,
2001,TB,DungTo0,ChriCl0,KiffMo0,
2002,TB,GrudJo0,MuirBi0,KiffMo0,
2003,TB,GrudJo0,MuirBi0,KiffMo0,
2004,TB,GrudJo0,MuirBi0,KiffMo0,
2005,TB,GrudJo0,MuirBi0,KiffMo0,
2006,TB,GrudJo0,MuirBi0,KiffMo0,
2007,TB,GrudJo0,MuirBi0,KiffMo0,
2008,TB,GrudJo0,MuirBi0,KiffMo0,
2009,TB,MorrRa0,OlsoGr0,BateJi0,OC fired preseason
2010,TB,MorrRa0,OlsoGr0,MorrRa0,No DC listed
2011,TB,MorrRa0,OlsoGr0,MillKe0,
2012,TB,SchiGr0,SullMi0,SherBi0,
2013,TB,SchiGr0,SullMi0,SherBi0,
2014,TB,SmitLo0,TedfJe0,FrazLe0,
2015,TB,SmitLo0,KoetDi0,FrazLe0,
2016,TB,KoetDi0,MonkTo0,SmitMi0,
2017,TB,KoetDi0,MonkTo0,SmitMi0,
2018,TB,KoetDi0,MonkTo0,SmitMi0,
2019,TB,AriaBr0,LeftBy0,BowlTo0,
2020,TB,AriaBr0,LeftBy0,BowlTo0,
1999,TEN,FishJe0,StecLe0,WillGr0,
2000,TEN,FishJe0,HeimMi0,WillGr0,
2001,TEN,FishJe0,HeimMi0,SchwJi0,
2002,TEN,FishJe0,HeimMi0,SchwJi0,
2003,TEN,FishJe0,HeimMi0,SchwJi0,
2004,TEN,FishJe0,HeimMi0,SchwJi0,
2005,TEN,FishJe0,ChowNo0,SchwJi0,
2006,TEN,FishJe0,ChowNo0,SchwJi0,
2007,TEN,FishJe0,ChowNo0,SchwJi0,
2008,TEN,FishJe0,HeimMi0,SchwJi0,
2009,TEN,FishJe0,HeimMi0,CeciCh0,
2010,TEN,FishJe0,HeimMi0,CeciCh0,
2011,TEN,MuncMi0,PalmCh0,GrayJe0,
2012,TEN,MuncMi0,PalmCh0,GrayJe0,
2013,TEN,MuncMi0,LoggDo0,GrayJe0,
2014,TEN,WhisKe0,MichJa0,HortRa0,
2015,TEN,WhisKe0,MichJa0,HortRa0,
2016,TEN,MulaMi0,RobiTe0,LeBeDi0,
2017,TEN,MulaMi0,RobiTe0,LeBeDi0,
2018,TEN,VrabMi0,LaFlMa0,PeesDe0,
2019,TEN,VrabMi0,SmitAr0,PeesDe0,
2020,TEN,VrabMi0,SmitAr0,NA,No DC
2020,WAS,RiveRo0,TurnSc0,DelRJa0,
1999,WAS,TurnNo0,NA,NolaMi0,No OC
2000,WAS,TurnNo0,NA,RhodRa0,No OC; HC fired; PGC to HC
2001,WAS,SchoMa0,RayeJi0,SchoKu0,
2002,WAS,SpurSt0,NA,LewiMa0,No OC
2003,WAS,SpurSt0,JackHu0,EdwaGe0,
2004,WAS,GibbJo0,BreaDo0,WillGr0,
2005,WAS,GibbJo0,BreaDo0,WillGr0,
2006,WAS,GibbJo0,SaunAl0,WillGr0,Two OCs listed
2007,WAS,GibbJo0,SaunAl0,WillGr0,Two OCs listed
2008,WAS,ZornJi0,SmitSh0,BlacGr0,
2009,WAS,ZornJi0,SmitSh0,BlacGr0,
2010,WAS,ShanMi0,ShanKy0,HaslJi0,
2011,WAS,ShanMi0,ShanKy0,HaslJi0,
2012,WAS,ShanMi0,ShanKy0,HaslJi0,
2013,WAS,ShanMi0,ShanKy0,HaslJi0,
2014,WAS,GrudJa0,McVaSe0,HaslJi0,
2015,WAS,GrudJa0,McVaSe0,BarrJo0,
2016,WAS,GrudJa0,McVaSe0,BarrJo0,
2017,WAS,GrudJa0,CavaMa0,ManuGr0,
2018,WAS,GrudJa0,CavaMa0,ManuGr0,
2019,WAS,GrudJa0,OConKe0,ManuGr0,
