game_id,team,uni_id,backbone,belly_button,back_shoulder_blade,belt,pants,number,helmet,socks
2018_08_GB_LA,GB,2018_GB_A.PNG,#fefefe,#ffffff,#ffffff,#fbbf0d,#fbbf11,#004000,#fbbf11,#004000
2018_08_NO_MIN,NO,2018_NO_E.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#bc923d,#c7be8c,#ffffff
2018_08_NE_BUF,NE,2018_NE_A.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#03182f,#b6bec8,#ffffff
2018_09_OAK_SF,OAK,2018_OAK_E.png,#fefefe,#ffffff,#ffffff,#949494,#d1d7de,#d1d6de,#bdc5d0,#000000
2018_09_CHI_BUF,CHI,2018_CHI_C.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#fefefe,#03182e,#ffffff
2018_09_TB_CAR,TB,2018_TB_D.PNG,#fefefe,#ffffff,#ffffff,#515151,#535353,#cb0809,#323336,#525252
2018_09_KC_CLE,KC,2018_KC_C.PNG,#fefefe,#ffffff,#ffffff,#c90314,#c80417,#c70416,#c80417,#ffffff
2018_09_NYJ_MIA,NYJ,2018_NYJ_C.png,#fefefe,#ffffff,#ffffff,#1f4635,#224838,#214738,#ffffff,#ffffff
2018_09_DET_MIN,DET,2018_DET_B.PNG,#fefefe,#ffffff,#ffffff,#e3e4e8,#e2e2e7,#497da6,#cbd1dc,#0761b0
2018_09_PIT_BAL,PIT,2018_PIT_A.PNG,#fefefe,#ffffff,#ffffff,#fdd736,#fcd638,#fefefe,#000000,#000000
2018_09_ATL_WAS,ATL,2018_ATL_A.PNG,#ffffff,#ffffff,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000
2018_09_HOU_DEN,HOU,2018_HOU_B.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#b1242d,#03182e,#02172e
2018_09_LAC_SEA,LAC,2018_LAC_B2.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#15457a,#ffffff,#02172e
2018_09_LA_NO,LA,2018_LAR_C.PNG,#fefefe,#ffffff,#ffffff,#131f3a,#16223c,#15213d,#071430,#15213c
2018_09_GB_NE,GB,2018_GB_A.PNG,#fefefe,#ffffff,#ffffff,#fbbf0d,#fbbf11,#004000,#fbbf11,#004000
2018_09_TEN_DAL,TEN,2018_TEN_C2.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#fefefe,#001328,#ffffff
2018_10_CAR_PIT,CAR,2018_CAR_A.png,#fefefe,#ffffff,#ffffff,#0087d5,#fefefe,#000000,#b5beca,#0087d4
2018_10_DET_CHI,DET,2018_DET_A.PNG,#fefefe,#ffffff,#ffffff,#1864bb,#1b66bb,#497da6,#cbd1dc,#0761b0
2018_10_NO_CIN,NO,2018_NO_B.PNG,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000,#c7be8c,#000000
2018_10_ATL_CLE,ATL,2018_ATL_A.PNG,#ffffff,#ffffff,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000
2018_10_JAX_IND,JAX,2018_JAX_B.PNG,#fefefe,#ffffff,#ffffff,#000000,#000000,#1e1e1e,#000000,#000000
2018_10_ARI_KC,ARI,2018_ARZ_B.PNG,#ffffff,#ffffff,#c9596f,#ae0021,#ae0024,#797979,#ffffff,#ad0023
2018_10_BUF_NYJ,BUF,2018_BUF_A.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#00328c,#ffffff,#00338c
2018_10_NE_TEN,NE,2018_NE_A.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#03182f,#b6bec8,#ffffff
2018_10_WAS_TB,WAS,2018_WAS_H.png,#800000,#800000,#800000,#ffffff,#fefefe,#fefefe,#800000,#800000
2018_10_LAC_OAK,LAC,2018_LAC_B2.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#15457a,#ffffff,#02172e
2018_10_MIA_GB,MIA,2018_MIA_B.png,#fefefe,#ffffff,#ffffff,#008c97,#008d97,#008c96,#ffffff,#008c96
2018_10_SEA_LA,SEA,2018_SEA_B2.PNG,#fefefe,#ffffff,#ffffff,#e5e0dd,#e3dfdb,#27445c,#0c2135,#24283b
2018_10_DAL_PHI,DAL,2018_DAL_A.PNG,#fefefe,#ffffff,#ffffff,#8cbcb9,#8dbcb9,#002675,#b2bfcb,#002676
2018_10_NYG_SF,NYG,2018_NYG_A.PNG,#fefefe,#ffffff,#ffffff,#aab3ac,#a9b3ac,#b20000,#000062,#b30000
2018_11_GB_SEA,GB,2018_GB_C.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#004000,#fbbf11,#ffffff
2018_11_DAL_ATL,DAL,2018_DAL_A.PNG,#fefefe,#ffffff,#ffffff,#8cbcb9,#8dbcb9,#002675,#b2bfcb,#002676
2018_11_TEN_IND,TEN,2018_TEN_B.PNG,#fefefe,#ffffff,#ffffff,#09203d,#0c2340,#fefefe,#001328,#0b2240
2018_11_CAR_DET,CAR,2018_CAR_Q.png,#000000,#000000,#000000,#0087d5,#000000,#fefefe,#b5beca,#000000
2018_11_TB_NYG,TB,2018_TB_D.PNG,#fefefe,#ffffff,#ffffff,#515151,#535353,#cb0809,#323336,#525252
2018_11_CIN_BAL,CIN,2018_CIN_C.PNG,#ffffff,#ffffff,#fefaf9,#000000,#000000,#000000,#fb3012,#000000
2018_11_HOU_WAS,HOU,2018_HOU_B.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#b1242d,#03182e,#02172e
2018_11_PIT_JAX,PIT,2018_PIT_A.PNG,#fefefe,#ffffff,#ffffff,#fdd736,#fcd638,#fefefe,#000000,#000000
2018_11_OAK_ARI,OAK,2018_OAK_A.PNG,#fefefe,#ffffff,#ffffff,#949494,#d1d7de,#000000,#bdc5d0,#000000
2018_11_DEN_LAC,DEN,2018_DEN_A.PNG,#ffffff,#ffffff,#fefefe,#02142c,#ffffff,#ffffff,#03182f,#03182e
2018_11_PHI_NO,PHI,2018_PHI_D.PNG,#265264,#255164,#265264,#000000,#fefefe,#fefefe,#003333,#000000
2018_11_MIN_CHI,MIN,2018_MIN_B.PNG,#fefefe,#ffffff,#ffffff,#391e84,#3c2185,#3c2084,#58386c,#351d77
