season,award,voter,outlet,place,selection,points
2024,ACOTY,Jonathan Jones,CBS Sports,2,Brian Flores,5
2024,ACOTY,Mike Jones,The Athletic,3,Ben Johnson,3
2024,ACOTY,Lindsay Jones,The Ringer,3,Jeff Stoutland,3
2024,ACOTY,Jonathan Jones,CBS Sports,3,Ben Johnson,3
2024,ACOTY,Mike Jones,The Athletic,4,Kliff Kingsbury,2
2024,ACOTY,Lindsay Jones,The Ringer,4,Kliff Kingsbury,2
2024,ACOTY,Jonathan Jones,CBS Sports,4,Vance Joseph,2
2024,ACOTY,Mike Jones,The Athletic,5,Aaron Glenn,1
2024,ACOTY,Lindsay Jones,The Ringer,5,Vic Fangio,1
2024,ACOTY,Jonathan Jones,CBS Sports,5,Jeff Stoutland,1
2024,ACOTY,Ira Kaufman,JoeBucsFan.com,1,Ben Johnson,10
2024,ACOTY,Ira Kaufman,JoeBucsFan.com,2,Liam Coen,5
2024,ACOTY,Ira Kaufman,JoeBucsFan.com,3,Vic Fangio,3
2024,ACOTY,Ira Kaufman,JoeBucsFan.com,4,Vance Joseph,2
2024,ACOTY,Ira Kaufman,JoeBucsFan.com,5,Joe Brady,1
2024,ACOTY,Mina Kimes,ESPN,1,Ben Johnson,10
2024,ACOTY,Mina Kimes,ESPN,2,Brian Flores,5
2024,ACOTY,Mina Kimes,ESPN,3,Vic Fangio,3
2024,ACOTY,Mina Kimes,ESPN,4,Joe Brady,2
2024,ACOTY,Mina Kimes,ESPN,5,Vance Joseph,1
2024,ACOTY,Aditi Kinkhabwala,CBS,1,Brian Flores,10
2024,ACOTY,Aditi Kinkhabwala,CBS,2,Joe Brady,5
2024,ACOTY,Aditi Kinkhabwala,CBS,3,Todd Monken,3
2024,ACOTY,Aditi Kinkhabwala,CBS,4,Liam Coen,2
2024,ACOTY,Aditi Kinkhabwala,CBS,5,Alex Van Pelt,1
2024,ACOTY,Pat Kirwan,SiriusXM,1,Steve Spagnuolo,10
2024,ACOTY,Pat Kirwan,SiriusXM,2,Ben Johnson,5
2024,ACOTY,Pat Kirwan,SiriusXM,3,Liam Coen,3
2024,ACOTY,Pat Kirwan,SiriusXM,4,Vic Fangio,2
2024,ACOTY,Pat Kirwan,SiriusXM,5,Brian Flores,1
2024,ACOTY,Diante Lee,The Ringer,1,Aaron Glenn,10
2024,ACOTY,Diante Lee,The Ringer,2,Ben Johnson,5
2024,ACOTY,Diante Lee,The Ringer,3,Liam Coen,3
2024,ACOTY,Diante Lee,The Ringer,4,Vic Fangio,2
2024,ACOTY,Diante Lee,The Ringer,5,Danny Smith,1
2024,ACOTY,John McMullen,Sports Illustrated Now,1,Vic Fangio,10
2024,ACOTY,John McMullen,Sports Illustrated Now,2,Ben Johnson,5
2024,ACOTY,John McMullen,Sports Illustrated Now,3,Brian Flores,3
2024,ACOTY,John McMullen,Sports Illustrated Now,4,Kliff Kingsbury,2
2024,ACOTY,John McMullen,Sports Illustrated Now,5,Joe Brady,1
2024,ACOTY,Jim Miller,SiriusXM,1,Ben Johnson,10
2024,ACOTY,Jim Miller,SiriusXM,2,Vic Fangio,5
2024,ACOTY,Jim Miller,SiriusXM,3,Aaron Glenn,3
2024,ACOTY,Jim Miller,SiriusXM,4,Joe Brady,2
2024,ACOTY,Jim Miller,SiriusXM,5,Steve Spagnuolo,1
2024,ACOTY,Sam Monson,The 33rd Team,1,Brian Flores,10
2024,ACOTY,Sam Monson,The 33rd Team,2,Ben Johnson,5
2024,ACOTY,Sam Monson,The 33rd Team,3,Aaron Glenn,3
2024,ACOTY,Sam Monson,The 33rd Team,4,Vic Fangio,2
2024,ACOTY,Sam Monson,The 33rd Team,5,Nick Rallis,1
2024,ACOTY,Bruce Murray,SiriusXM,1,Vic Fangio,10
2024,ACOTY,Bruce Murray,SiriusXM,2,Brian Flores,5
2024,ACOTY,Bruce Murray,SiriusXM,3,Liam Coen,3
2024,ACOTY,Bruce Murray,SiriusXM,4,Todd Monken,2
2024,ACOTY,Bruce Murray,SiriusXM,5,Joe Brady,1
2024,ACOTY,Gary Myers,NFL author,1,Ben Johnson,10
2024,ACOTY,Gary Myers,NFL author,2,Brian Flores,5
2024,ACOTY,Gary Myers,NFL author,3,Jesse Minter,3
2024,ACOTY,Gary Myers,NFL author,4,Todd Monken,2
2024,ACOTY,Gary Myers,NFL author,5,Liam Coen,1
2024,ACOTY,Laura Okmin,Fox Sports,1,Aaron Glenn,10
2024,ACOTY,Laura Okmin,Fox Sports,2,Ben Johnson,5
2024,ACOTY,Laura Okmin,Fox Sports,3,Brian Flores,3
2024,ACOTY,Laura Okmin,Fox Sports,4,Vance Joseph,2
2024,ACOTY,Laura Okmin,Fox Sports,5,Liam Coen,1
2024,ACOTY,Dan Orlovsky,ESPN,1,Ben Johnson,10
2024,ACOTY,Dan Orlovsky,ESPN,2,Vic Fangio,5
2024,ACOTY,Dan Orlovsky,ESPN,3,Aaron Glenn,3
2024,ACOTY,Dan Orlovsky,ESPN,4,Joe Brady,2
2024,ACOTY,Dan Orlovsky,ESPN,5,Vance Joseph,1
2024,ACOTY,Nick Pavlatos,SiriusXM,1,Ben Johnson,10
2024,ACOTY,Nick Pavlatos,SiriusXM,2,Joe Brady,5
2024,ACOTY,Nick Pavlatos,SiriusXM,3,Brian Flores,3
2024,ACOTY,Nick Pavlatos,SiriusXM,4,Todd Monken,2
2024,ACOTY,Nick Pavlatos,SiriusXM,5,Steve Spagnuolo,1
2024,ACOTY,Dan Pompei,The Athletic,1,Aaron Glenn,10
2024,ACOTY,Dan Pompei,The Athletic,2,Ben Johnson,5
2024,ACOTY,Dan Pompei,The Athletic,3,Vance Joseph,3
2024,ACOTY,Dan Pompei,The Athletic,4,Vic Fangio,2
2024,ACOTY,Dan Pompei,The Athletic,5,Jesse Minter,1
2024,ACOTY,Nora Princiotti,The Ringer,1,Ben Johnson,10
2024,ACOTY,Nora Princiotti,The Ringer,2,Brian Flores,5
2024,ACOTY,Nora Princiotti,The Ringer,3,Jesse Minter,3
2024,ACOTY,Nora Princiotti,The Ringer,4,Liam Coen,2
2024,ACOTY,Nora Princiotti,The Ringer,5,Aaron Glenn,1
2024,ACOTY,Pete Prisco,CBS,1,Ben Johnson,10
2024,ACOTY,Pete Prisco,CBS,2,Brian Flores,5
2024,ACOTY,Pete Prisco,CBS,3,Aaron Glenn,3
2024,ACOTY,Pete Prisco,CBS,4,Vic Fangio,2
2024,ACOTY,Pete Prisco,CBS,5,Todd Monken,1
2024,ACOTY,Lorenzo Reyes,USA Today,1,Ben Johnson,10
2024,ACOTY,Lorenzo Reyes,USA Today,2,Jesse Minter,5
2024,ACOTY,Lorenzo Reyes,USA Today,3,Joe Brady,3
2024,ACOTY,Lorenzo Reyes,USA Today,4,Kliff Kingsbury,2
2024,ACOTY,Lorenzo Reyes,USA Today,5,Brian Flores,1
2024,ACOTY,Charles Robinson,Yahoo Sports,1,Ben Johnson,10
2024,ACOTY,Charles Robinson,Yahoo Sports,2,Aaron Glenn,5
2024,ACOTY,Charles Robinson,Yahoo Sports,3,Todd Monken,3
2024,ACOTY,Charles Robinson,Yahoo Sports,4,Vance Joseph,2
2024,ACOTY,Charles Robinson,Yahoo Sports,5,Jesse Minter,1
2024,ACOTY,Dianna Russini,The Athletic,1,Jeff Stoutland,10
2024,ACOTY,Dianna Russini,The Athletic,2,Vic Fangio,5
2024,ACOTY,Dianna Russini,The Athletic,3,Vance Joseph,3
2024,ACOTY,Dianna Russini,The Athletic,4,Aaron Glenn,2
2024,ACOTY,Dianna Russini,The Athletic,5,Anthony Weaver,1
2024,ACOTY,Armando Salguero,Outkick.com,1,Ben Johnson,10
2024,ACOTY,Armando Salguero,Outkick.com,2,Liam Coen,5
2024,ACOTY,Armando Salguero,Outkick.com,3,Kliff Kingsbury,3
2024,ACOTY,Armando Salguero,Outkick.com,4,Joe Brady,2
2024,ACOTY,Armando Salguero,Outkick.com,5,Vic Fangio,1
2024,ACOTY,Mike Sando,The Athletic,1,Ben Johnson,10
2024,ACOTY,Mike Sando,The Athletic,2,Liam Coen,5
2024,ACOTY,Mike Sando,The Athletic,3,Vic Fangio,3
2024,ACOTY,Mike Sando,The Athletic,4,Brian Flores,2
2024,ACOTY,Mike Sando,The Athletic,5,Vance Joseph,1
2024,ACOTY,Aaron Schatz,FTN Network,1,Brian Flores,10
2024,ACOTY,Aaron Schatz,FTN Network,2,Vic Fangio,5
2024,ACOTY,Aaron Schatz,FTN Network,3,Ben Johnson,3
2024,ACOTY,Aaron Schatz,FTN Network,4,Todd Monken,2
2024,ACOTY,Aaron Schatz,FTN Network,5,Aaron Glenn,1
2024,ACOTY,Adam Schein,CBS Sports,1,Ben Johnson,10
2024,ACOTY,Adam Schein,CBS Sports,2,Brian Flores,5
2024,ACOTY,Adam Schein,CBS Sports,3,Liam Coen,3
2024,ACOTY,Adam Schein,CBS Sports,4,Aaron Glenn,2
2024,ACOTY,Adam Schein,CBS Sports,5,Jeff Stoutland,1
2024,ACOTY,Mike Silver,The Athletic,1,Ben Johnson,10
2024,ACOTY,Mike Silver,The Athletic,2,Vic Fangio,5
2024,ACOTY,Mike Silver,The Athletic,3,Brian Flores,3
2024,ACOTY,Mike Silver,The Athletic,4,Anthony Weaver,2
2024,ACOTY,Mike Silver,The Athletic,5,Vance Joseph,1
2024,ACOTY,Tom Silverstein,Milwaukee Journal-Sentinel,1,Aaron Glenn,10
2024,ACOTY,Tom Silverstein,Milwaukee Journal-Sentinel,2,Ben Johnson,5
2024,ACOTY,Tom Silverstein,Milwaukee Journal-Sentinel,3,Brian Flores,3
2024,ACOTY,Tom Silverstein,Milwaukee Journal-Sentinel,4,Steve Spagnuolo,2
2024,ACOTY,Tom Silverstein,Milwaukee Journal-Sentinel,5,Vic Fangio,1
2024,ACOTY,Chris Simms,NBC Sports,1,Ben Johnson,10
2024,ACOTY,Chris Simms,NBC Sports,2,Liam Coen,5
2024,ACOTY,Chris Simms,NBC Sports,3,Vic Fangio,3
2024,ACOTY,Chris Simms,NBC Sports,4,Todd Monken,2
2024,ACOTY,Chris Simms,NBC Sports,5,Vance Joseph,1
2024,ACOTY,Mike Tirico,NBC Sports,1,Ben Johnson,10
2024,ACOTY,Mike Tirico,NBC Sports,2,Steve Spagnuolo,5
2024,ACOTY,Mike Tirico,NBC Sports,3,Joe Brady,3
2024,ACOTY,Mike Tirico,NBC Sports,4,Vic Fangio,2
2024,ACOTY,Mike Tirico,NBC Sports,5,Aaron Glenn,1
2024,ACOTY,Ben Volin,Boston Globe,1,Joe Brady,10
2024,ACOTY,Ben Volin,Boston Globe,2,Ben Johnson,5
2024,ACOTY,Ben Volin,Boston Globe,3,Brian Flores,3
2024,ACOTY,Ben Volin,Boston Globe,4,Steve Spagnuolo,2
2024,ACOTY,Ben Volin,Boston Globe,5,Arthur Smith,1
2024,ACOTY,Charean Williams,Pro Football Talk,1,Ben Johnson,10
2024,ACOTY,Charean Williams,Pro Football Talk,2,Aaron Glenn,5
2024,ACOTY,Charean Williams,Pro Football Talk,3,Brian Flores,3
2024,ACOTY,Charean Williams,Pro Football Talk,4,Todd Monken,2
2024,ACOTY,Charean Williams,Pro Football Talk,5,Kliff Kingsbury,1
